epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8314,0.5906,1.72569,0.88849,0.99053,0.46174,0.93185,0.81764,0.5596,2.13915,0.83486,0.000469982,0.000469982,0.000469982
2,42.2256,0.56429,0.79551,0.86996,0.97665,0.95136,0.98191,0.86769,0.50939,0.61113,0.83615,0.00085263,0.00085263,0.00085263
3,47.4504,0.55363,0.7141,0.86682,0.98102,0.95966,0.98615,0.86912,0.51769,0.54896,0.83474,0.00114096,0.00114096,0.00114096
4,52.6209,0.5221,0.62911,0.8613,0.96439,0.97048,0.98423,0.89441,0.46475,0.48433,0.82417,0.00100459,0.00100459,0.00100459
5,57.8156,0.49087,0.56365,0.84831,0.97301,0.96581,0.98924,0.90745,0.44075,0.42513,0.82011,0.000863116,0.000863116,0.000863116
6,63.035,0.46415,0.50754,0.84213,0.99022,0.98317,0.99196,0.91602,0.41639,0.36895,0.81192,0.000721645,0.000721645,0.000721645
7,68.151,0.43172,0.46409,0.84075,0.98756,0.97769,0.99033,0.93462,0.36226,0.33695,0.80694,0.000580174,0.000580174,0.000580174
8,73.3195,0.41189,0.42677,0.83584,0.99171,0.98333,0.9905,0.93619,0.35717,0.31653,0.80318,0.000438703,0.000438703,0.000438703
9,78.4382,0.38666,0.39771,0.83261,0.99105,0.98267,0.99132,0.94707,0.33159,0.29329,0.80058,0.000297232,0.000297232,0.000297232
10,83.6145,0.36289,0.37922,0.82822,0.98879,0.98836,0.99075,0.95377,0.30573,0.27269,0.79779,0.000155761,0.000155761,0.000155761
